leafs:20
tmax:300
trainsize:8000
Epoch: 001, Test MSE: 15.6681, Test error q: 6.4240,Test error delat: 1.9369,Test error p2: 0.9562, Test error p0: 9.3540 
Epoch: 002, Test MSE: 12.4365, Test error q: 6.0084,Test error delat: 1.8826,Test error p2: 0.8428, Test error p0: 8.1117 
Epoch: 003, Test MSE: 11.8020, Test error q: 5.5594,Test error delat: 1.8584,Test error p2: 0.7597, Test error p0: 7.0274 
Epoch: 004, Test MSE: 11.5314, Test error q: 5.0577,Test error delat: 1.8306,Test error p2: 0.6814, Test error p0: 5.9536 
Epoch: 005, Test MSE: 11.3616, Test error q: 4.5825,Test error delat: 1.8015,Test error p2: 0.6221, Test error p0: 5.0508 
Epoch: 006, Test MSE: 11.2394, Test error q: 4.2268,Test error delat: 1.7864,Test error p2: 0.5918, Test error p0: 4.4665 
Epoch: 007, Test MSE: 11.1501, Test error q: 3.9914,Test error delat: 1.7749,Test error p2: 0.5765, Test error p0: 4.1196 
Epoch: 008, Test MSE: 11.0787, Test error q: 3.8378,Test error delat: 1.7616,Test error p2: 0.5679, Test error p0: 3.9132 
Epoch: 009, Test MSE: 11.0199, Test error q: 3.7286,Test error delat: 1.7486,Test error p2: 0.5636, Test error p0: 3.7896 
Epoch: 010, Test MSE: 10.9679, Test error q: 3.6391,Test error delat: 1.7333,Test error p2: 0.5617, Test error p0: 3.7052 
Epoch: 011, Test MSE: 10.9187, Test error q: 3.5782,Test error delat: 1.7107,Test error p2: 0.5616, Test error p0: 3.6731 
Epoch: 012, Test MSE: 10.8757, Test error q: 3.5229,Test error delat: 1.6783,Test error p2: 0.5616, Test error p0: 3.6706 
Epoch: 013, Test MSE: 10.8308, Test error q: 3.4878,Test error delat: 1.6370,Test error p2: 0.5615, Test error p0: 3.7148 
Epoch: 014, Test MSE: 10.7886, Test error q: 3.4612,Test error delat: 1.5758,Test error p2: 0.5585, Test error p0: 3.7850 
Epoch: 015, Test MSE: 10.7444, Test error q: 3.4336,Test error delat: 1.4966,Test error p2: 0.5496, Test error p0: 3.8456 
Epoch: 016, Test MSE: 10.7037, Test error q: 3.3800,Test error delat: 1.4077,Test error p2: 0.5316, Test error p0: 3.8528 
Epoch: 017, Test MSE: 10.6609, Test error q: 3.2975,Test error delat: 1.3163,Test error p2: 0.5072, Test error p0: 3.8135 
Epoch: 018, Test MSE: 10.6214, Test error q: 3.2385,Test error delat: 1.2252,Test error p2: 0.4789, Test error p0: 3.7594 
Epoch: 019, Test MSE: 10.5842, Test error q: 3.1839,Test error delat: 1.1474,Test error p2: 0.4531, Test error p0: 3.6955 
Epoch: 020, Test MSE: 10.5556, Test error q: 3.1656,Test error delat: 1.0832,Test error p2: 0.4332, Test error p0: 3.6588 
Epoch: 021, Test MSE: 10.5302, Test error q: 3.1258,Test error delat: 1.0277,Test error p2: 0.4136, Test error p0: 3.5899 
Epoch: 022, Test MSE: 10.5099, Test error q: 3.1007,Test error delat: 0.9724,Test error p2: 0.3958, Test error p0: 3.5216 
Epoch: 023, Test MSE: 10.4887, Test error q: 3.0770,Test error delat: 0.9196,Test error p2: 0.3801, Test error p0: 3.4519 
Epoch: 024, Test MSE: 10.4708, Test error q: 3.0564,Test error delat: 0.8749,Test error p2: 0.3673, Test error p0: 3.3964 
Epoch: 025, Test MSE: 10.4526, Test error q: 3.0404,Test error delat: 0.8361,Test error p2: 0.3572, Test error p0: 3.3515 
Epoch: 026, Test MSE: 10.4378, Test error q: 3.0263,Test error delat: 0.8013,Test error p2: 0.3488, Test error p0: 3.3114 
Epoch: 027, Test MSE: 10.4245, Test error q: 3.0158,Test error delat: 0.7663,Test error p2: 0.3416, Test error p0: 3.2689 
Epoch: 028, Test MSE: 10.4109, Test error q: 3.0062,Test error delat: 0.7381,Test error p2: 0.3361, Test error p0: 3.2392 
Epoch: 029, Test MSE: 10.3983, Test error q: 2.9989,Test error delat: 0.7128,Test error p2: 0.3316, Test error p0: 3.2142 
Epoch: 030, Test MSE: 10.3870, Test error q: 2.9999,Test error delat: 0.6898,Test error p2: 0.3280, Test error p0: 3.1986 
Epoch: 031, Test MSE: 10.3772, Test error q: 3.0066,Test error delat: 0.6670,Test error p2: 0.3247, Test error p0: 3.1854 
Epoch: 032, Test MSE: 10.3679, Test error q: 3.0071,Test error delat: 0.6510,Test error p2: 0.3226, Test error p0: 3.1824 
Epoch: 033, Test MSE: 10.3584, Test error q: 3.0149,Test error delat: 0.6324,Test error p2: 0.3204, Test error p0: 3.1772 
Epoch: 034, Test MSE: 10.3493, Test error q: 3.0169,Test error delat: 0.6186,Test error p2: 0.3187, Test error p0: 3.1767 
Epoch: 035, Test MSE: 10.3400, Test error q: 3.0176,Test error delat: 0.6045,Test error p2: 0.3172, Test error p0: 3.1729 
Epoch: 036, Test MSE: 10.3317, Test error q: 3.0206,Test error delat: 0.5926,Test error p2: 0.3160, Test error p0: 3.1731 
Epoch: 037, Test MSE: 10.3248, Test error q: 3.0193,Test error delat: 0.5843,Test error p2: 0.3152, Test error p0: 3.1734 
Epoch: 038, Test MSE: 10.3180, Test error q: 3.0327,Test error delat: 0.5727,Test error p2: 0.3142, Test error p0: 3.1788 
Epoch: 039, Test MSE: 10.3094, Test error q: 3.0246,Test error delat: 0.5689,Test error p2: 0.3137, Test error p0: 3.1828 
Epoch: 040, Test MSE: 10.3034, Test error q: 3.0266,Test error delat: 0.5612,Test error p2: 0.3129, Test error p0: 3.1848 
Epoch: 041, Test MSE: 10.2957, Test error q: 3.0315,Test error delat: 0.5548,Test error p2: 0.3122, Test error p0: 3.1920 
Epoch: 042, Test MSE: 10.2895, Test error q: 3.0365,Test error delat: 0.5478,Test error p2: 0.3116, Test error p0: 3.1948 
Epoch: 043, Test MSE: 10.2829, Test error q: 3.0427,Test error delat: 0.5422,Test error p2: 0.3109, Test error p0: 3.2042 
Epoch: 044, Test MSE: 10.2775, Test error q: 3.0478,Test error delat: 0.5375,Test error p2: 0.3105, Test error p0: 3.2118 
Epoch: 045, Test MSE: 10.2700, Test error q: 3.0636,Test error delat: 0.5310,Test error p2: 0.3099, Test error p0: 3.2224 
Epoch: 046, Test MSE: 10.2640, Test error q: 3.0604,Test error delat: 0.5291,Test error p2: 0.3097, Test error p0: 3.2278 
Epoch: 047, Test MSE: 10.2589, Test error q: 3.0768,Test error delat: 0.5237,Test error p2: 0.3092, Test error p0: 3.2401 
Epoch: 048, Test MSE: 10.2549, Test error q: 3.0727,Test error delat: 0.5233,Test error p2: 0.3093, Test error p0: 3.2476 
Epoch: 049, Test MSE: 10.2490, Test error q: 3.0726,Test error delat: 0.5201,Test error p2: 0.3089, Test error p0: 3.2497 
Epoch: 050, Test MSE: 10.2431, Test error q: 3.0773,Test error delat: 0.5170,Test error p2: 0.3086, Test error p0: 3.2567 
Epoch: 051, Test MSE: 10.2395, Test error q: 3.0785,Test error delat: 0.5150,Test error p2: 0.3084, Test error p0: 3.2631 
Epoch: 052, Test MSE: 10.2355, Test error q: 3.0847,Test error delat: 0.5127,Test error p2: 0.3083, Test error p0: 3.2730 
Epoch: 053, Test MSE: 10.2315, Test error q: 3.0921,Test error delat: 0.5099,Test error p2: 0.3080, Test error p0: 3.2820 
Epoch: 054, Test MSE: 10.2274, Test error q: 3.0948,Test error delat: 0.5082,Test error p2: 0.3078, Test error p0: 3.2879 
Epoch: 055, Test MSE: 10.2242, Test error q: 3.0951,Test error delat: 0.5075,Test error p2: 0.3077, Test error p0: 3.2946 
Epoch: 056, Test MSE: 10.2195, Test error q: 3.0964,Test error delat: 0.5061,Test error p2: 0.3075, Test error p0: 3.3017 
Epoch: 057, Test MSE: 10.2143, Test error q: 3.0874,Test error delat: 0.5065,Test error p2: 0.3075, Test error p0: 3.3018 
Epoch: 058, Test MSE: 10.2099, Test error q: 3.0933,Test error delat: 0.5038,Test error p2: 0.3072, Test error p0: 3.3050 
Epoch: 059, Test MSE: 10.2047, Test error q: 3.0919,Test error delat: 0.5028,Test error p2: 0.3071, Test error p0: 3.3050 
