leafs:20
tmax:300
trainsize:8000
Epoch: 001, Test MSE: 0.3678, Test error q: 4.2656,Test error delat: 1.0807,Test error p2: 0.4382, Test error p0: 4.2383 
Epoch: 002, Test MSE: 0.2628, Test error q: 3.5223,Test error delat: 0.3764,Test error p2: 0.2800, Test error p0: 4.0558 
Epoch: 003, Test MSE: 0.2500, Test error q: 3.3164,Test error delat: 0.3373,Test error p2: 0.2632, Test error p0: 3.9304 
Epoch: 004, Test MSE: 0.2456, Test error q: 3.3214,Test error delat: 0.3175,Test error p2: 0.2620, Test error p0: 3.9295 
Epoch: 005, Test MSE: 0.2414, Test error q: 3.2291,Test error delat: 0.3130,Test error p2: 0.2579, Test error p0: 3.9807 
Epoch: 006, Test MSE: 0.2389, Test error q: 3.1254,Test error delat: 0.3073,Test error p2: 0.2548, Test error p0: 3.8849 
Epoch: 007, Test MSE: 0.2370, Test error q: 3.1346,Test error delat: 0.3005,Test error p2: 0.2526, Test error p0: 3.9083 
Epoch: 008, Test MSE: 0.2357, Test error q: 3.1129,Test error delat: 0.2992,Test error p2: 0.2520, Test error p0: 3.9618 
Epoch: 009, Test MSE: 0.2347, Test error q: 2.9819,Test error delat: 0.2955,Test error p2: 0.2497, Test error p0: 3.7796 
Epoch: 010, Test MSE: 0.2337, Test error q: 3.0435,Test error delat: 0.2938,Test error p2: 0.2492, Test error p0: 3.8996 
Epoch: 011, Test MSE: 0.2329, Test error q: 2.9866,Test error delat: 0.2905,Test error p2: 0.2475, Test error p0: 3.8303 
Epoch: 012, Test MSE: 0.2320, Test error q: 3.0530,Test error delat: 0.2850,Test error p2: 0.2472, Test error p0: 3.8938 
Epoch: 013, Test MSE: 0.2311, Test error q: 2.9988,Test error delat: 0.2830,Test error p2: 0.2469, Test error p0: 3.8324 
Epoch: 014, Test MSE: 0.2306, Test error q: 3.0869,Test error delat: 0.2752,Test error p2: 0.2469, Test error p0: 3.8671 
Epoch: 015, Test MSE: 0.2292, Test error q: 3.0988,Test error delat: 0.2703,Test error p2: 0.2454, Test error p0: 3.8743 
Epoch: 016, Test MSE: 0.2286, Test error q: 3.0688,Test error delat: 0.2740,Test error p2: 0.2449, Test error p0: 3.9134 
Epoch: 017, Test MSE: 0.2278, Test error q: 3.0360,Test error delat: 0.2685,Test error p2: 0.2448, Test error p0: 3.8199 
Epoch: 018, Test MSE: 0.2272, Test error q: 3.0923,Test error delat: 0.2674,Test error p2: 0.2447, Test error p0: 3.9090 
Epoch: 019, Test MSE: 0.2269, Test error q: 3.1098,Test error delat: 0.2605,Test error p2: 0.2439, Test error p0: 3.8542 
Epoch: 020, Test MSE: 0.2257, Test error q: 3.0302,Test error delat: 0.2617,Test error p2: 0.2431, Test error p0: 3.8130 
Epoch: 021, Test MSE: 0.2252, Test error q: 3.0566,Test error delat: 0.2599,Test error p2: 0.2434, Test error p0: 3.8572 
Epoch: 022, Test MSE: 0.2245, Test error q: 3.0089,Test error delat: 0.2597,Test error p2: 0.2426, Test error p0: 3.8260 
Epoch: 023, Test MSE: 0.2237, Test error q: 3.0663,Test error delat: 0.2554,Test error p2: 0.2435, Test error p0: 3.8708 
Epoch: 024, Test MSE: 0.2233, Test error q: 3.1057,Test error delat: 0.2528,Test error p2: 0.2430, Test error p0: 3.9315 
Epoch: 025, Test MSE: 0.2227, Test error q: 3.0254,Test error delat: 0.2568,Test error p2: 0.2435, Test error p0: 3.8999 
Epoch: 026, Test MSE: 0.2239, Test error q: 2.8408,Test error delat: 0.2637,Test error p2: 0.2427, Test error p0: 3.7253 
Epoch: 027, Test MSE: 0.2224, Test error q: 2.9426,Test error delat: 0.2552,Test error p2: 0.2428, Test error p0: 3.7829 
Epoch: 028, Test MSE: 0.2217, Test error q: 2.9470,Test error delat: 0.2537,Test error p2: 0.2438, Test error p0: 3.8163 
Epoch: 029, Test MSE: 0.2218, Test error q: 2.9253,Test error delat: 0.2535,Test error p2: 0.2433, Test error p0: 3.7688 
Epoch: 030, Test MSE: 0.2214, Test error q: 2.8769,Test error delat: 0.2543,Test error p2: 0.2426, Test error p0: 3.7316 
Epoch: 031, Test MSE: 0.2217, Test error q: 2.8036,Test error delat: 0.2574,Test error p2: 0.2420, Test error p0: 3.6577 
Epoch: 032, Test MSE: 0.2207, Test error q: 2.9234,Test error delat: 0.2470,Test error p2: 0.2410, Test error p0: 3.6940 
Epoch: 033, Test MSE: 0.2210, Test error q: 2.8572,Test error delat: 0.2550,Test error p2: 0.2426, Test error p0: 3.7292 
Epoch: 034, Test MSE: 0.2203, Test error q: 2.8896,Test error delat: 0.2514,Test error p2: 0.2416, Test error p0: 3.7529 
Epoch: 035, Test MSE: 0.2204, Test error q: 2.8558,Test error delat: 0.2525,Test error p2: 0.2418, Test error p0: 3.7106 
Epoch: 036, Test MSE: 0.2200, Test error q: 2.8892,Test error delat: 0.2501,Test error p2: 0.2408, Test error p0: 3.7329 
Epoch: 037, Test MSE: 0.2196, Test error q: 2.9449,Test error delat: 0.2476,Test error p2: 0.2425, Test error p0: 3.8053 
Epoch: 038, Test MSE: 0.2192, Test error q: 2.9394,Test error delat: 0.2453,Test error p2: 0.2406, Test error p0: 3.7607 
Epoch: 039, Test MSE: 0.2198, Test error q: 2.9098,Test error delat: 0.2516,Test error p2: 0.2434, Test error p0: 3.8320 
Epoch: 040, Test MSE: 0.2193, Test error q: 2.9383,Test error delat: 0.2503,Test error p2: 0.2447, Test error p0: 3.8708 
Epoch: 041, Test MSE: 0.2190, Test error q: 3.0172,Test error delat: 0.2442,Test error p2: 0.2425, Test error p0: 3.8844 
Epoch: 042, Test MSE: 0.2187, Test error q: 2.9667,Test error delat: 0.2456,Test error p2: 0.2422, Test error p0: 3.8270 
