leafs:20
tmax:300
trainsize:8000
Epoch: 001, Test MSE: 0.4210, Test error q: 5.7442,Test error delat: 1.4140,Test error p2: 0.5110, Test error p0: 5.9762 
Epoch: 002, Test MSE: 0.3572, Test error q: 5.4187,Test error delat: 0.8310,Test error p2: 0.3983, Test error p0: 5.8869 
Epoch: 003, Test MSE: 0.2726, Test error q: 4.4355,Test error delat: 0.3834,Test error p2: 0.3039, Test error p0: 5.5011 
Epoch: 004, Test MSE: 0.2586, Test error q: 3.8436,Test error delat: 0.3782,Test error p2: 0.3027, Test error p0: 5.1232 
Epoch: 005, Test MSE: 0.2515, Test error q: 3.8874,Test error delat: 0.3389,Test error p2: 0.2923, Test error p0: 5.1710 
Epoch: 006, Test MSE: 0.2486, Test error q: 3.8460,Test error delat: 0.3243,Test error p2: 0.2845, Test error p0: 5.0482 
Epoch: 007, Test MSE: 0.2465, Test error q: 3.8637,Test error delat: 0.3271,Test error p2: 0.2902, Test error p0: 5.2368 
Epoch: 008, Test MSE: 0.2439, Test error q: 3.5671,Test error delat: 0.3392,Test error p2: 0.2950, Test error p0: 5.0071 
Epoch: 009, Test MSE: 0.2461, Test error q: 4.0493,Test error delat: 0.3084,Test error p2: 0.2823, Test error p0: 5.3305 
Epoch: 010, Test MSE: 0.2429, Test error q: 3.8839,Test error delat: 0.3108,Test error p2: 0.2856, Test error p0: 5.2661 
Epoch: 011, Test MSE: 0.2410, Test error q: 3.7467,Test error delat: 0.3183,Test error p2: 0.2868, Test error p0: 5.1277 
Epoch: 012, Test MSE: 0.2411, Test error q: 3.7925,Test error delat: 0.3153,Test error p2: 0.2833, Test error p0: 5.1363 
Epoch: 013, Test MSE: 0.2451, Test error q: 4.0646,Test error delat: 0.3113,Test error p2: 0.2856, Test error p0: 5.3785 
Epoch: 014, Test MSE: 0.2392, Test error q: 3.7060,Test error delat: 0.3240,Test error p2: 0.2819, Test error p0: 5.0531 
Epoch: 015, Test MSE: 0.2544, Test error q: 4.3737,Test error delat: 0.3278,Test error p2: 0.2909, Test error p0: 5.6062 
Epoch: 016, Test MSE: 0.2422, Test error q: 3.9016,Test error delat: 0.3410,Test error p2: 0.2995, Test error p0: 5.3863 
Epoch: 017, Test MSE: 0.2370, Test error q: 3.4293,Test error delat: 0.3482,Test error p2: 0.2879, Test error p0: 4.8873 
Epoch: 018, Test MSE: 0.2455, Test error q: 4.0614,Test error delat: 0.3529,Test error p2: 0.3023, Test error p0: 5.4848 
Epoch: 019, Test MSE: 0.2512, Test error q: 4.2512,Test error delat: 0.3533,Test error p2: 0.3045, Test error p0: 5.6064 
