leafs:20
tmax:300
trainsize:8000
Epoch: 001, Test MSE: 0.3642, Test error q: 3.7841,Test error delat: 1.0316,Test error p2: 0.4300, Test error p0: 3.4819 
Epoch: 002, Test MSE: 0.2658, Test error q: 2.8653,Test error delat: 0.4204,Test error p2: 0.2825, Test error p0: 3.2125 
Epoch: 003, Test MSE: 0.2484, Test error q: 3.0463,Test error delat: 0.3305,Test error p2: 0.2628, Test error p0: 3.2725 
Epoch: 004, Test MSE: 0.2443, Test error q: 3.1158,Test error delat: 0.3079,Test error p2: 0.2610, Test error p0: 3.3392 
Epoch: 005, Test MSE: 0.2458, Test error q: 3.2899,Test error delat: 0.2967,Test error p2: 0.2651, Test error p0: 3.4499 
Epoch: 006, Test MSE: 0.2408, Test error q: 3.1686,Test error delat: 0.2895,Test error p2: 0.2597, Test error p0: 3.4185 
Epoch: 007, Test MSE: 0.2420, Test error q: 3.1928,Test error delat: 0.2854,Test error p2: 0.2619, Test error p0: 3.3721 
Epoch: 008, Test MSE: 0.2386, Test error q: 3.1456,Test error delat: 0.2809,Test error p2: 0.2587, Test error p0: 3.4016 
Epoch: 009, Test MSE: 0.2340, Test error q: 3.0927,Test error delat: 0.2776,Test error p2: 0.2529, Test error p0: 3.4621 
Epoch: 010, Test MSE: 0.2301, Test error q: 2.8921,Test error delat: 0.2753,Test error p2: 0.2491, Test error p0: 3.3089 
Epoch: 011, Test MSE: 0.2288, Test error q: 2.8934,Test error delat: 0.2738,Test error p2: 0.2485, Test error p0: 3.3404 
Epoch: 012, Test MSE: 0.2270, Test error q: 2.8494,Test error delat: 0.2744,Test error p2: 0.2478, Test error p0: 3.3616 
Epoch: 013, Test MSE: 0.2285, Test error q: 2.9775,Test error delat: 0.2681,Test error p2: 0.2491, Test error p0: 3.4028 
Epoch: 014, Test MSE: 0.2305, Test error q: 3.0905,Test error delat: 0.2648,Test error p2: 0.2507, Test error p0: 3.4482 
Epoch: 015, Test MSE: 0.2326, Test error q: 3.1963,Test error delat: 0.2638,Test error p2: 0.2518, Test error p0: 3.4981 
Epoch: 016, Test MSE: 0.2291, Test error q: 3.1535,Test error delat: 0.2617,Test error p2: 0.2501, Test error p0: 3.5743 
Epoch: 017, Test MSE: 0.2276, Test error q: 3.0996,Test error delat: 0.2600,Test error p2: 0.2487, Test error p0: 3.5302 
Epoch: 018, Test MSE: 0.2256, Test error q: 2.9960,Test error delat: 0.2583,Test error p2: 0.2491, Test error p0: 3.4545 
Epoch: 019, Test MSE: 0.2248, Test error q: 3.0304,Test error delat: 0.2566,Test error p2: 0.2475, Test error p0: 3.5186 
Epoch: 020, Test MSE: 0.2223, Test error q: 2.9453,Test error delat: 0.2573,Test error p2: 0.2470, Test error p0: 3.5093 
Epoch: 021, Test MSE: 0.2212, Test error q: 2.8673,Test error delat: 0.2556,Test error p2: 0.2443, Test error p0: 3.4085 
Epoch: 022, Test MSE: 0.2220, Test error q: 2.9462,Test error delat: 0.2529,Test error p2: 0.2457, Test error p0: 3.4625 
Epoch: 023, Test MSE: 0.2253, Test error q: 3.0721,Test error delat: 0.2500,Test error p2: 0.2494, Test error p0: 3.5171 
Epoch: 024, Test MSE: 0.2240, Test error q: 3.0133,Test error delat: 0.2486,Test error p2: 0.2480, Test error p0: 3.4469 
Epoch: 025, Test MSE: 0.2242, Test error q: 3.0324,Test error delat: 0.2474,Test error p2: 0.2488, Test error p0: 3.4694 
Epoch: 026, Test MSE: 0.2225, Test error q: 2.9818,Test error delat: 0.2468,Test error p2: 0.2479, Test error p0: 3.4489 
Epoch: 027, Test MSE: 0.2200, Test error q: 2.8850,Test error delat: 0.2446,Test error p2: 0.2450, Test error p0: 3.3915 
Epoch: 028, Test MSE: 0.2190, Test error q: 2.8497,Test error delat: 0.2433,Test error p2: 0.2427, Test error p0: 3.3662 
Epoch: 029, Test MSE: 0.2171, Test error q: 2.7434,Test error delat: 0.2445,Test error p2: 0.2423, Test error p0: 3.3167 
Epoch: 030, Test MSE: 0.2170, Test error q: 2.7486,Test error delat: 0.2441,Test error p2: 0.2426, Test error p0: 3.3165 
Epoch: 031, Test MSE: 0.2173, Test error q: 2.7817,Test error delat: 0.2406,Test error p2: 0.2430, Test error p0: 3.3310 
Epoch: 032, Test MSE: 0.2166, Test error q: 2.7668,Test error delat: 0.2394,Test error p2: 0.2419, Test error p0: 3.3198 
Epoch: 033, Test MSE: 0.2153, Test error q: 2.6467,Test error delat: 0.2422,Test error p2: 0.2407, Test error p0: 3.2532 
Epoch: 034, Test MSE: 0.2170, Test error q: 2.8157,Test error delat: 0.2368,Test error p2: 0.2426, Test error p0: 3.3580 
Epoch: 035, Test MSE: 0.2147, Test error q: 2.6494,Test error delat: 0.2425,Test error p2: 0.2411, Test error p0: 3.2844 
Epoch: 036, Test MSE: 0.2160, Test error q: 2.7849,Test error delat: 0.2368,Test error p2: 0.2423, Test error p0: 3.3559 
Epoch: 037, Test MSE: 0.2160, Test error q: 2.8218,Test error delat: 0.2366,Test error p2: 0.2437, Test error p0: 3.4166 
Epoch: 038, Test MSE: 0.2154, Test error q: 2.7633,Test error delat: 0.2373,Test error p2: 0.2440, Test error p0: 3.3616 
Epoch: 039, Test MSE: 0.2149, Test error q: 2.7044,Test error delat: 0.2350,Test error p2: 0.2406, Test error p0: 3.2669 
Epoch: 040, Test MSE: 0.2140, Test error q: 2.6067,Test error delat: 0.2392,Test error p2: 0.2407, Test error p0: 3.2433 
Epoch: 041, Test MSE: 0.2136, Test error q: 2.6004,Test error delat: 0.2390,Test error p2: 0.2392, Test error p0: 3.2510 
Epoch: 042, Test MSE: 0.2138, Test error q: 2.6730,Test error delat: 0.2358,Test error p2: 0.2393, Test error p0: 3.2967 
Epoch: 043, Test MSE: 0.2174, Test error q: 2.9099,Test error delat: 0.2309,Test error p2: 0.2442, Test error p0: 3.4159 
